application_id,period,age,monthly_income,credit_history_months,debt_to_income,delinquencies_12m,previous_defaults,recent_inquiries,product_type,channel,target_default_90d
APP-00030,2025-01,31,38588,93,0.5878,0,0,4,auto_loan,partner,0
APP-00031,2025-02,39,43416,167,0.2443,2,0,1,auto_loan,partner,0
APP-00032,2025-02,49,85848,43,0.0512,0,0,2,credit_card,mobile,0
APP-00033,2025-02,53,43123,50,0.2713,1,0,2,mortgage,web,0
APP-00034,2025-02,18,50248,93,0.2088,0,0,3,cash_loan,partner,0
APP-00035,2025-02,37,59315,75,0.4214,0,0,1,auto_loan,mobile,0
APP-00036,2025-02,25,45375,0,0.4751,0,0,2,auto_loan,office,0
APP-00037,2025-02,49,75562,14,0.126,1,1,2,cash_loan,office,0
APP-00038,2025-02,44,106861,32,0.3529,0,0,2,auto_loan,partner,1
APP-00039,2025-02,57,73411,50,0.3868,1,0,2,auto_loan,office,0
APP-00040,2025-02,48,44491,113,0.3863,0,0,4,credit_card,mobile,0
APP-00041,2025-02,18,74271,0,0.2008,1,0,1,auto_loan,partner,0
APP-00042,2025-02,42,85593,52,0.4248,0,0,3,auto_loan,web,1
APP-00043,2025-02,25,52140,57,0.4843,0,0,2,auto_loan,partner,1
APP-00044,2025-02,27,62446,40,0.3931,0,0,2,auto_loan,mobile,0
APP-00045,2025-02,41,60180,88,0.3531,0,0,2,credit_card,mobile,0
APP-00046,2025-02,41,111426,108,0.1763,0,0,0,mortgage,office,0
APP-00047,2025-02,35,33555,51,0.2638,1,0,2,credit_card,mobile,0
APP-00048,2025-02,40,32397,54,0.5039,0,0,4,credit_card,mobile,1
APP-00049,2025-02,32,34098,3,0.2315,0,0,3,auto_loan,mobile,1
APP-00050,2025-02,44,71229,35,0.2413,0,0,2,mortgage,office,0
APP-00051,2025-02,41,32402,114,0.2549,0,0,2,auto_loan,mobile,0
APP-00052,2025-02,41,42195,102,0.4968,0,0,1,credit_card,web,0
APP-00053,2025-02,46,62806,62,0.2257,0,0,3,credit_card,mobile,0
APP-00054,2025-02,47,73621,43,0.4363,0,1,1,cash_loan,partner,0
APP-00055,2025-02,32,42603,45,0.2152,0,0,1,credit_card,office,0
APP-00056,2025-02,27,89192,42,0.4183,0,0,4,credit_card,office,0
APP-00057,2025-02,49,46145,0,0.4578,0,0,4,mortgage,partner,0
APP-00058,2025-02,39,65993,62,0.3363,2,0,2,auto_loan,office,0
APP-00059,2025-02,34,54208,79,0.2719,0,0,3,auto_loan,partner,0
APP-00060,2025-02,42,39194,123,0.1281,0,1,2,mortgage,mobile,0
APP-00061,2025-03,25,61817,35,0.1975,0,0,1,credit_card,office,0
APP-00062,2025-03,35,52592,56,0.2487,0,0,2,mortgage,mobile,0
APP-00063,2025-03,26,105499,86,0.457,0,0,2,mortgage,mobile,0
APP-00064,2025-03,49,52413,94,0.4806,0,1,2,credit_card,mobile,0
APP-00065,2025-03,49,61526,16,0.3239,0,0,2,cash_loan,mobile,0
APP-00066,2025-03,45,86723,76,0.05,0,0,2,cash_loan,web,0
APP-00067,2025-03,51,52519,101,0.2085,1,0,0,mortgage,mobile,0
APP-00068,2025-03,31,31851,102,0.2654,0,0,3,cash_loan,office,0
APP-00069,2025-03,41,63507,0,0.2527,0,0,4,cash_loan,web,0
APP-00070,2025-03,43,85230,9,0.5112,0,0,3,auto_loan,partner,0
APP-00071,2025-03,54,114642,57,0.3931,0,0,1,cash_loan,partner,0
APP-00072,2025-03,54,95936,29,0.0983,0,0,1,auto_loan,web,0
APP-00073,2025-03,29,107825,52,0.4257,0,0,0,mortgage,partner,0
APP-00074,2025-03,40,60456,92,0.0633,0,0,0,cash_loan,mobile,0
APP-00075,2025-03,34,156589,37,0.4726,0,0,1,auto_loan,mobile,1
APP-00076,2025-03,46,60311,73,0.4329,0,0,1,cash_loan,web,0
APP-00077,2025-03,22,76993,48,0.1172,0,0,2,credit_card,web,0
APP-00078,2025-03,26,39157,78,0.6284,0,0,2,auto_loan,office,0
APP-00079,2025-03,36,47433,0,0.3733,0,0,2,cash_loan,mobile,0
APP-00080,2025-03,39,47776,90,0.2695,0,0,2,auto_loan,partner,1
APP-00081,2025-03,24,100035,0,0.2882,0,0,2,mortgage,mobile,0
APP-00082,2025-03,30,35500,0,0.6486,0,0,2,auto_loan,office,1
APP-00083,2025-03,34,43567,53,0.3759,0,0,2,mortgage,partner,0
APP-00084,2025-03,38,46365,0,0.4274,0,0,3,credit_card,mobile,0
APP-00085,2025-03,50,72826,49,0.3552,0,0,3,mortgage,partner,0
APP-00086,2025-03,33,54648,21,0.1367,0,0,2,mortgage,web,0
APP-00087,2025-03,33,103559,57,0.5166,4,1,1,mortgage,mobile,0
APP-00088,2025-03,18,66561,70,0.4357,0,0,5,credit_card,web,0
APP-00089,2025-03,38,76645,92,0.1896,0,1,0,auto_loan,mobile,0
APP-00090,2025-03,40,34994,54,0.4654,0,0,2,mortgage,office,0
APP-00091,2025-04,32,62066,23,0.1318,1,0,2,credit_card,partner,0
APP-00092,2025-04,40,59080,101,0.0948,0,0,2,mortgage,web,0
APP-00093,2025-04,42,49226,60,0.1049,0,0,2,mortgage,partner,0
APP-00094,2025-04,43,29476,43,0.1297,0,0,4,cash_loan,web,0
APP-00095,2025-04,48,83001,22,0.4403,0,0,3,auto_loan,office,0
APP-00096,2025-04,24,44716,26,0.4082,0,0,2,cash_loan,office,0
APP-00097,2025-04,42,66594,72,0.2093,0,0,1,auto_loan,partner,0
APP-00098,2025-04,20,40282,59,0.2176,0,0,3,cash_loan,office,0
APP-00099,2025-04,33,89618,76,0.4166,0,0,1,auto_loan,office,0
APP-00100,2025-04,40,38763,32,0.2931,0,0,3,mortgage,office,0
APP-00101,2025-04,48,58196,88,0.4676,0,0,3,credit_card,office,1
APP-00102,2025-04,26,64080,93,0.6403,0,0,4,auto_loan,web,0
APP-00103,2025-04,28,34783,86,0.4653,0,0,4,mortgage,mobile,1
APP-00104,2025-04,47,72542,80,0.1964,1,0,1,credit_card,partner,0
APP-00105,2025-04,37,93367,16,0.0856,0,0,1,auto_loan,mobile,0
APP-00106,2025-04,21,38429,63,0.3618,0,0,3,auto_loan,office,0
APP-00107,2025-04,44,40212,57,0.2277,0,0,2,mortgage,partner,0
APP-00108,2025-04,47,61003,66,0.4331,0,0,1,credit_card,partner,1
APP-00109,2025-04,32,56623,37,0.158,0,0,2,cash_loan,web,0
APP-00110,2025-04,30,61739,67,0.2418,0,0,4,auto_loan,web,0
APP-00111,2025-04,59,52576,68,0.5971,0,1,2,auto_loan,partner,0
APP-00112,2025-04,41,47217,40,0.3067,1,0,2,mortgage,mobile,1
APP-00113,2025-04,34,86169,46,0.2575,0,0,3,credit_card,partner,0
APP-00114,2025-04,39,49892,32,0.7364,0,0,0,auto_loan,web,0
APP-00115,2025-04,53,61597,55,0.3088,0,0,1,mortgage,office,0
APP-00116,2025-04,52,40319,4,0.4355,0,0,2,auto_loan,office,0
APP-00117,2025-04,33,54940,20,0.2657,0,0,0,mortgage,office,0
APP-00118,2025-04,48,77876,46,0.3653,0,0,3,auto_loan,office,0
APP-00119,2025-04,51,63342,55,0.0695,0,0,0,auto_loan,mobile,0
APP-00120,2025-04,46,83379,41,0.0769,0,0,1,cash_loan,mobile,0
APP-00121,2025-05,40,92737,48,0.3784,0,0,3,cash_loan,partner,0
APP-00122,2025-05,44,69725,57,0.259,0,0,1,mortgage,mobile,0
APP-00123,2025-05,40,38711,57,0.4644,0,0,2,credit_card,mobile,0
APP-00124,2025-05,30,45369,0,0.0509,0,0,2,auto_loan,office,0
APP-00125,2025-05,46,84578,79,0.1609,1,0,1,credit_card,office,0
APP-00126,2025-05,51,33068,31,0.1093,0,0,2,cash_loan,partner,1
APP-00127,2025-05,55,54448,41,0.5369,0,0,1,cash_loan,office,0
APP-00128,2025-05,59,36109,2,0.1605,0,0,0,credit_card,mobile,0
APP-00129,2025-05,32,73609,40,0.1764,1,0,2,auto_loan,office,0
APP-00130,2025-05,36,79562,64,0.218,1,1,2,cash_loan,web,0
APP-00131,2025-05,46,70191,162,0.1289,2,0,1,credit_card,mobile,0
APP-00132,2025-05,58,41071,70,0.3128,0,0,1,cash_loan,web,0
APP-00133,2025-05,35,60031,20,0.0687,0,0,3,credit_card,web,0
APP-00134,2025-05,44,89493,63,0.4944,2,0,5,cash_loan,mobile,0
APP-00135,2025-05,24,85061,38,0.4036,0,1,0,cash_loan,office,0
APP-00136,2025-05,37,128198,64,0.078,1,0,1,credit_card,office,0
APP-00137,2025-05,43,50335,60,0.2056,0,0,3,auto_loan,web,0
APP-00138,2025-05,18,45670,162,0.2556,0,0,3,credit_card,partner,0
APP-00139,2025-05,34,61931,93,0.4415,0,0,3,mortgage,web,0
APP-00140,2025-05,41,61754,37,0.3371,0,0,3,auto_loan,mobile,0
APP-00141,2025-05,32,60318,84,0.1375,0,0,1,cash_loan,office,0
APP-00142,2025-05,20,80193,58,0.2659,0,0,3,mortgage,mobile,0
APP-00143,2025-05,38,35847,116,0.3492,0,0,3,credit_card,web,0
APP-00144,2025-05,42,40195,41,0.4201,0,0,1,cash_loan,mobile,0
APP-00145,2025-05,32,92187,69,0.2368,0,0,1,auto_loan,partner,0
APP-00146,2025-05,47,70725,54,0.3849,0,0,5,credit_card,web,0
APP-00147,2025-05,42,46664,31,0.2419,0,0,0,cash_loan,mobile,0
APP-00148,2025-05,45,85672,115,0.7186,0,0,4,mortgage,web,1
APP-00149,2025-05,50,50636,68,0.05,1,0,3,auto_loan,partner,0
APP-00150,2025-05,32,89038,64,0.4791,0,0,2,mortgage,partner,0
APP-00151,2025-06,30,42687,105,0.3465,0,0,3,cash_loan,office,0
APP-00152,2025-06,33,86679,76,0.2405,0,0,2,auto_loan,office,0
APP-00153,2025-06,53,108620,100,0.4993,0,0,3,mortgage,mobile,0
APP-00154,2025-06,45,40628,3,0.2835,0,0,1,cash_loan,office,0
APP-00155,2025-06,35,74179,81,0.3167,0,0,2,cash_loan,mobile,0
APP-00156,2025-06,27,59430,61,0.4966,0,0,4,mortgage,office,0
APP-00157,2025-06,36,70462,57,0.4046,0,0,0,auto_loan,mobile,0
APP-00158,2025-06,41,97272,39,0.243,1,0,0,credit_card,mobile,0
APP-00159,2025-06,23,48928,41,0.3401,0,0,2,mortgage,mobile,0
APP-00160,2025-06,47,121344,48,0.3971,0,0,2,mortgage,office,0
APP-00161,2025-06,48,55688,127,0.2846,1,0,2,mortgage,mobile,0
APP-00162,2025-06,33,78618,65,0.3702,0,0,1,credit_card,office,0
APP-00163,2025-06,37,92566,68,0.2472,0,0,5,auto_loan,office,0
APP-00164,2025-06,27,31884,80,0.05,0,0,1,auto_loan,office,0
APP-00165,2025-06,42,71406,61,0.5126,0,0,1,mortgage,office,0
APP-00166,2025-06,36,69376,83,0.2791,0,1,2,auto_loan,partner,0
APP-00167,2025-06,33,100505,32,0.2138,0,0,1,auto_loan,partner,0
APP-00168,2025-06,19,85465,11,0.2862,0,0,3,mortgage,office,0
APP-00169,2025-06,45,45323,58,0.134,0,0,2,cash_loan,mobile,0
APP-00170,2025-06,41,76664,21,0.3531,0,0,3,cash_loan,mobile,0
APP-00171,2025-06,43,119950,16,0.1537,0,0,3,auto_loan,mobile,1
APP-00172,2025-06,34,43734,65,0.3047,2,0,5,auto_loan,mobile,1
APP-00173,2025-06,27,68558,112,0.5124,0,0,3,cash_loan,partner,0
APP-00174,2025-06,50,64039,21,0.3942,0,0,3,cash_loan,office,0
APP-00175,2025-06,33,49920,129,0.3195,0,0,2,credit_card,office,0
APP-00176,2025-06,51,85559,102,0.3766,0,0,2,mortgage,mobile,0
APP-00177,2025-06,64,41867,79,0.3946,0,0,2,mortgage,partner,0
APP-00178,2025-06,42,59647,20,0.3115,0,0,3,mortgage,partner,0
APP-00179,2025-06,30,35630,7,0.4665,0,0,1,mortgage,office,0
APP-00180,2025-06,43,30952,70,0.2825,0,0,1,cash_loan,partner,0
APP-00181,2025-07,44,65122,99,0.0736,0,0,2,mortgage,web,0
APP-00182,2025-07,25,42707,83,0.5799,0,0,2,credit_card,mobile,0
APP-00183,2025-07,59,92055,74,0.1514,2,0,2,mortgage,partner,1
APP-00184,2025-07,39,81006,40,0.164,0,0,2,auto_loan,mobile,0
APP-00185,2025-07,46,75960,33,0.2046,0,0,3,credit_card,office,0
APP-00186,2025-07,30,61505,59,0.3044,0,1,4,credit_card,web,0
APP-00187,2025-07,18,41395,94,0.5373,0,0,1,mortgage,mobile,0
APP-00188,2025-07,47,114975,80,0.347,0,0,2,cash_loan,mobile,0
APP-00189,2025-07,46,43287,44,0.4102,0,0,4,credit_card,office,0
APP-00190,2025-07,24,48940,53,0.1825,0,0,2,cash_loan,mobile,0
APP-00191,2025-07,30,41166,37,0.327,0,1,1,auto_loan,office,0
APP-00192,2025-07,43,54662,55,0.3788,1,0,2,cash_loan,office,0
APP-00193,2025-07,51,68592,0,0.1238,0,0,2,cash_loan,mobile,0
APP-00194,2025-07,51,64914,72,0.1277,1,0,3,mortgage,web,0
APP-00195,2025-07,27,62203,55,0.2638,0,1,3,auto_loan,mobile,0
APP-00196,2025-07,34,57207,70,0.4214,0,0,3,cash_loan,mobile,0
APP-00197,2025-07,43,29620,56,0.3908,0,0,1,credit_card,office,1
APP-00198,2025-07,27,87789,14,0.2977,0,0,3,credit_card,web,0
APP-00199,2025-07,43,58497,28,0.5748,0,0,4,mortgage,partner,0
APP-00200,2025-07,38,45614,72,0.3958,2,0,2,credit_card,office,0
APP-00201,2025-07,33,54974,39,0.2683,0,0,1,mortgage,office,0
APP-00202,2025-07,29,57131,132,0.1267,0,0,2,auto_loan,mobile,0
APP-00203,2025-07,38,47577,11,0.4295,0,0,3,mortgage,web,0
APP-00204,2025-07,31,72370,56,0.4152,0,0,2,mortgage,web,1
APP-00205,2025-07,50,70549,83,0.4416,0,0,2,credit_card,mobile,0
APP-00206,2025-07,31,92464,63,0.3995,0,0,2,credit_card,mobile,0
APP-00207,2025-07,21,33609,37,0.2365,0,0,3,mortgage,partner,0
APP-00208,2025-07,27,97590,72,0.3406,0,0,3,auto_loan,partner,0
APP-00209,2025-07,54,115131,50,0.416,1,0,1,credit_card,mobile,1
APP-00210,2025-07,35,51559,63,0.1254,0,0,1,credit_card,office,0
APP-00211,2025-08,43,50234,57,0.5725,1,0,2,credit_card,mobile,1
APP-00212,2025-08,33,102445,26,0.1269,0,0,1,auto_loan,office,0
APP-00213,2025-08,40,72287,118,0.16,0,0,3,auto_loan,mobile,0
APP-00214,2025-08,46,109255,55,0.0846,0,0,3,cash_loan,partner,0
APP-00215,2025-08,49,83716,84,0.4417,0,0,2,auto_loan,web,0
APP-00216,2025-08,48,65808,48,0.6077,0,0,2,auto_loan,mobile,0
APP-00217,2025-08,43,69878,10,0.2018,1,0,4,auto_loan,mobile,0
APP-00218,2025-08,36,49494,40,0.1906,0,0,1,mortgage,web,0
APP-00219,2025-08,29,99941,71,0.3775,0,0,2,auto_loan,mobile,0
APP-00220,2025-08,34,60020,100,0.6174,0,0,0,auto_loan,partner,0
APP-00221,2025-08,32,59487,89,0.3449,0,0,3,cash_loan,office,0
APP-00222,2025-08,29,83881,73,0.2189,0,0,3,cash_loan,mobile,0
APP-00223,2025-08,39,30534,102,0.2128,0,0,1,cash_loan,partner,0
APP-00224,2025-08,42,46863,84,0.483,0,0,4,mortgage,web,1
APP-00225,2025-08,30,48184,68,0.4218,1,0,3,cash_loan,partner,0
APP-00226,2025-08,51,66003,72,0.4452,0,0,3,cash_loan,partner,0
APP-00227,2025-08,36,63470,45,0.1991,0,1,4,credit_card,office,0
APP-00228,2025-08,45,58636,69,0.3557,0,1,4,credit_card,office,1
APP-00229,2025-08,44,50846,14,0.6113,0,0,3,credit_card,web,1
APP-00230,2025-08,35,69900,53,0.4167,0,0,0,credit_card,office,0
APP-00231,2025-08,47,60313,13,0.1098,0,0,3,mortgage,mobile,0
APP-00232,2025-08,40,70890,49,0.3038,0,0,2,mortgage,office,0
APP-00233,2025-08,44,39598,32,0.084,0,0,0,credit_card,partner,0
APP-00234,2025-08,30,43979,36,0.1354,3,1,2,auto_loan,mobile,0
APP-00235,2025-08,35,40913,65,0.3097,1,1,3,auto_loan,partner,0
APP-00236,2025-08,33,60960,0,0.2106,0,0,4,credit_card,web,0
APP-00237,2025-08,44,47427,98,0.1912,1,0,3,credit_card,web,0
APP-00238,2025-08,54,36474,56,0.1833,0,0,1,mortgage,partner,0
APP-00239,2025-08,46,62300,49,0.1205,0,0,2,credit_card,web,0
APP-00240,2025-08,52,44005,86,0.6137,0,0,0,auto_loan,mobile,0
APP-00241,2025-09,40,108111,46,0.334,1,1,2,cash_loan,partner,0
APP-00242,2025-09,33,56910,34,0.4691,2,0,3,mortgage,web,0
APP-00243,2025-09,22,61936,133,0.2117,0,0,0,auto_loan,office,0
APP-00244,2025-09,44,54360,13,0.1726,0,0,3,mortgage,mobile,0
APP-00245,2025-09,30,75540,0,0.634,0,1,4,cash_loan,web,0
APP-00246,2025-09,18,40570,38,0.1975,0,0,4,mortgage,mobile,0
APP-00247,2025-09,32,59900,59,0.3156,0,0,0,credit_card,office,0
APP-00248,2025-09,27,78471,85,0.555,0,0,4,credit_card,web,0
APP-00249,2025-09,32,71652,39,0.2561,0,0,1,cash_loan,partner,0
APP-00250,2025-09,46,116750,24,0.3719,0,1,2,cash_loan,partner,0
APP-00251,2025-09,49,83756,84,0.3615,1,0,5,auto_loan,mobile,0
APP-00252,2025-09,43,42033,82,0.4816,0,0,3,mortgage,partner,1
APP-00253,2025-09,34,88523,57,0.2187,1,0,0,credit_card,web,0
APP-00254,2025-09,47,56254,77,0.5045,0,0,3,credit_card,partner,0
APP-00255,2025-09,52,36130,34,0.391,1,0,4,mortgage,mobile,0
APP-00256,2025-09,34,76254,65,0.3813,0,0,4,cash_loan,partner,1
APP-00257,2025-09,36,34977,43,0.6114,0,0,4,auto_loan,office,1
APP-00258,2025-09,37,40535,35,0.4285,1,1,5,mortgage,partner,0
APP-00259,2025-09,39,86818,0,0.121,2,0,2,credit_card,partner,0
APP-00260,2025-09,36,68501,50,0.7476,0,0,2,credit_card,web,0
APP-00261,2025-09,40,35743,83,0.4526,0,0,3,mortgage,office,0
APP-00262,2025-09,30,96746,7,0.7287,0,1,5,credit_card,mobile,0
APP-00263,2025-09,34,61219,56,0.502,0,0,2,mortgage,mobile,1
APP-00264,2025-09,40,53191,47,0.7973,0,0,2,credit_card,partner,1
APP-00265,2025-09,43,49149,104,0.2416,0,0,4,auto_loan,partner,0
APP-00266,2025-09,37,41377,46,0.8003,0,0,5,cash_loan,web,1
APP-00267,2025-09,44,92354,0,0.2599,0,0,2,cash_loan,mobile,0
APP-00268,2025-09,42,72390,49,0.2775,0,0,3,mortgage,office,0
APP-00269,2025-09,46,60187,42,0.244,1,1,4,mortgage,partner,0
APP-00270,2025-09,33,48914,35,0.4325,0,0,4,credit_card,web,0
APP-00271,2025-10,18,40915,90,0.421,0,0,5,auto_loan,partner,0
APP-00272,2025-10,42,47618,52,0.4559,0,0,3,credit_card,mobile,0
APP-00273,2025-10,43,47865,82,0.4032,0,0,3,cash_loan,partner,0
APP-00274,2025-10,37,55639,61,0.4021,0,0,3,cash_loan,web,0
APP-00275,2025-10,35,73077,38,0.5645,0,0,5,auto_loan,mobile,0
APP-00276,2025-10,44,76268,92,0.2944,0,0,3,credit_card,mobile,0
APP-00277,2025-10,54,37392,0,0.5688,0,0,4,credit_card,web,0
APP-00278,2025-10,31,38223,71,0.3304,0,0,0,cash_loan,partner,0
APP-00279,2025-10,39,89374,44,0.5415,0,0,4,mortgage,mobile,0
APP-00280,2025-10,24,82266,72,0.6065,0,0,4,auto_loan,mobile,0
APP-00281,2025-10,32,39247,13,0.4029,0,0,4,mortgage,web,0
APP-00282,2025-10,42,102215,41,0.3586,0,0,3,cash_loan,office,0
APP-00283,2025-10,24,69768,97,0.5433,0,0,4,credit_card,mobile,0
APP-00284,2025-10,30,41790,88,0.2405,0,0,2,mortgage,partner,0
APP-00285,2025-10,45,67390,45,0.4066,0,0,2,mortgage,web,0
APP-00286,2025-10,22,57493,74,0.1973,0,0,3,credit_card,partner,0
APP-00287,2025-10,54,80120,11,0.345,0,0,2,credit_card,mobile,1
APP-00288,2025-10,54,75337,77,0.4299,0,0,3,credit_card,partner,0
APP-00289,2025-10,38,62149,56,0.455,0,0,2,mortgage,mobile,0
APP-00290,2025-10,47,76169,0,0.2041,0,0,2,cash_loan,office,0
APP-00291,2025-10,33,53645,79,0.7135,0,0,3,cash_loan,partner,1
APP-00292,2025-10,25,110349,0,0.3835,1,0,3,cash_loan,office,1
APP-00293,2025-10,42,70930,47,0.212,0,0,0,cash_loan,mobile,0
APP-00294,2025-10,31,55738,70,0.4179,0,0,6,credit_card,partner,1
APP-00295,2025-10,18,68388,37,0.4239,0,0,4,cash_loan,mobile,0
APP-00296,2025-10,33,77394,78,0.2579,0,0,2,cash_loan,mobile,0
APP-00297,2025-10,29,72679,85,0.1705,0,0,1,cash_loan,partner,0
APP-00298,2025-10,31,92537,31,0.2631,0,0,3,auto_loan,mobile,0
APP-00299,2025-10,40,52597,74,0.2937,0,0,4,mortgage,mobile,0
APP-00300,2025-10,20,82302,17,0.7324,0,0,6,cash_loan,mobile,1
APP-00301,2025-11,39,37812,27,0.2962,0,0,3,auto_loan,mobile,0
APP-00302,2025-11,26,60248,21,0.3678,0,0,3,cash_loan,mobile,0
APP-00303,2025-11,21,51120,30,0.4216,0,0,2,auto_loan,office,0
APP-00304,2025-11,51,49189,32,0.4165,0,0,6,cash_loan,partner,0
APP-00305,2025-11,47,64074,11,0.1507,0,0,4,mortgage,mobile,0
APP-00306,2025-11,48,90178,65,0.3723,1,0,5,mortgage,mobile,0
APP-00307,2025-11,31,31904,119,0.2037,0,0,3,cash_loan,mobile,0
APP-00308,2025-11,40,58265,58,0.1741,0,0,2,cash_loan,partner,0
APP-00309,2025-11,31,42429,36,0.4646,0,0,7,auto_loan,partner,0
APP-00310,2025-11,46,62141,32,0.1329,0,0,3,credit_card,web,0
APP-00311,2025-11,31,44684,72,0.2857,1,0,3,credit_card,mobile,0
APP-00312,2025-11,27,76295,36,0.2199,0,0,1,cash_loan,partner,0
APP-00313,2025-11,44,116102,19,0.3893,0,0,2,auto_loan,partner,0
APP-00314,2025-11,36,47051,64,0.4835,0,0,2,cash_loan,web,0
APP-00315,2025-11,47,59459,34,0.1765,0,0,4,mortgage,partner,0
APP-00316,2025-11,32,53451,132,0.4045,0,0,5,mortgage,partner,0
APP-00317,2025-11,30,121351,29,0.5814,0,0,5,credit_card,mobile,0
APP-00318,2025-11,34,70943,73,0.4129,0,1,3,cash_loan,mobile,1
APP-00319,2025-11,41,43956,43,0.3337,0,0,3,auto_loan,partner,0
APP-00320,2025-11,28,66132,63,0.1124,0,0,0,auto_loan,office,0
APP-00321,2025-11,40,75222,0,0.4174,0,0,1,cash_loan,web,0
APP-00322,2025-11,39,64556,52,0.3452,1,0,4,auto_loan,partner,0
APP-00323,2025-11,33,54879,10,0.1904,1,0,3,cash_loan,partner,1
APP-00324,2025-11,34,41159,58,0.4528,0,0,3,mortgage,partner,0
APP-00325,2025-11,41,75783,100,0.3813,0,0,3,mortgage,mobile,0
APP-00326,2025-11,39,35724,67,0.2888,0,0,3,cash_loan,web,0
APP-00327,2025-11,32,88684,140,0.4348,0,0,2,auto_loan,partner,0
APP-00328,2025-11,37,75203,70,0.3,0,0,3,credit_card,web,0
APP-00329,2025-11,24,45634,44,0.2476,0,0,3,credit_card,office,1
APP-00330,2025-11,43,81315,4,0.5499,0,0,5,credit_card,partner,0
APP-00331,2025-12,41,50498,37,0.24,0,0,2,auto_loan,web,0
APP-00332,2025-12,32,72044,78,0.1878,0,0,5,auto_loan,partner,0
APP-00333,2025-12,23,86212,28,0.6638,0,0,5,mortgage,mobile,0
APP-00334,2025-12,41,40522,88,0.5315,0,0,2,credit_card,web,0
APP-00335,2025-12,24,29318,75,0.1129,0,0,3,cash_loan,web,0
APP-00336,2025-12,35,27973,62,0.4437,0,1,3,cash_loan,web,0
APP-00337,2025-12,24,56002,38,0.4862,0,0,3,cash_loan,web,0
APP-00338,2025-12,23,74600,90,0.3878,0,0,2,credit_card,partner,0
APP-00339,2025-12,36,73711,60,0.1741,0,0,2,credit_card,office,0
APP-00340,2025-12,30,52412,76,0.1052,0,0,1,auto_loan,partner,0
APP-00341,2025-12,51,92096,77,0.8587,0,0,3,auto_loan,mobile,0
APP-00342,2025-12,32,72983,10,0.2911,0,0,3,cash_loan,partner,0
APP-00343,2025-12,39,40088,78,0.5375,0,0,2,credit_card,web,0
APP-00344,2025-12,19,62772,72,0.6118,0,0,3,credit_card,web,0
APP-00345,2025-12,43,124032,35,0.2595,1,0,5,credit_card,web,0
APP-00346,2025-12,51,54554,95,0.2446,1,0,3,cash_loan,partner,0
APP-00347,2025-12,43,35047,70,0.2393,0,0,2,auto_loan,web,0
APP-00348,2025-12,42,51796,51,0.2059,0,0,3,credit_card,web,0
APP-00349,2025-12,55,25000,51,0.6954,0,0,4,mortgage,mobile,0
APP-00350,2025-12,31,62836,55,0.307,0,0,3,mortgage,partner,1
APP-00351,2025-12,41,122965,47,0.4633,0,1,0,cash_loan,web,0
APP-00352,2025-12,34,78795,38,0.4425,2,0,1,credit_card,web,0
APP-00353,2025-12,29,57245,41,0.3943,4,1,3,credit_card,office,1
